JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Mozambique,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,6634,5437,10295,2262,D,D
Burkina Faso,Tax cases under internal review procedures-No. of cases initiated in FY,Units,,,0,648,D,1098
Mozambique,Percentage of payments received electronically-By value of payments,Units,D,D,D,100,D,D
Saudi Arabia,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,211,7467,5351,D,306,2638
Papua New Guinea,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,D,D,9,9,12,9
Malta,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,0,7655,D
Taiwan,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,0,0,0,0,D,D
Italy,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,159464,195777,196875
Bosnia and Herzegovina,FTEs by function of the tax administration-Other functions,Units,D,D,D,D,90,116
Latvia,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,D,89176,92499,94653
Lesotho,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,D,D,0,0,0,0
"Gambia, The",FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,,D,D,7
Burundi,Salary expenditure - Derived,Units,15670722,16432689,16527558,D,D,D
"Korea, Republic of",Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,6911000,7595000,D,D,10422000,11618000
Tonga,Percentage of payments received electronically-By value of payments,Units,2,4,D,D,15,15
Zimbabwe,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,0,3,4,D,D,186
Mozambique,No. of incoming service contacts by channel-E-mail,Units,0,562,30,30,D,D
São Tomé and Príncipe,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,0,0,0,D,D,D
Tuvalu,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,,,,0,0,D
Israel,No. of incoming service contacts by channel-E-mail,Units,D,D,673733,870888,D,574547
