JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Jamaica,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,46432581,48994673,39549983,39549983,41981070,44480074
Anguilla,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,,,,,4746,
Palau,On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,,,,10740,D,10019
Paraguay,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,3640743139,3591543907,3732562868,5004802566,5408713593,3233150637
Kyrgyz Republic,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,D,D,,77594353,D,D
Togo,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,105808,144342,D,D,19723777,D
Belarus,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,10011052,D
Brunei Darussalam,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,,,117954,115460,146138,157519
Lithuania,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,67776,75259,197558,184404,80449,65423
Brunei Darussalam,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,,,75,D,1600,3371
Trinidad and Tobago,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,613820,593778,836181,1669863,682251,711754
Kenya,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,219499363,244748287,217686897,264746301,283417728,344156955
Papua New Guinea,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,D,D,D,D,1396491,D
Greece,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,3629250,3702422,2750613,3057877,3489892,3719824
Anguilla,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,,,,,127,
Tajikistan,On-time payments-Value added tax-Value of payments expected by due date (in thousands in local currency),Thousands,1716300,1877100,2034100,2839543,3056181,3442032
Panama,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,109952055,D,6985,3672808,D,108232681
Togo,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,18456439,20976142,31035350,25087131,104435318,61986231
Kiribati,On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,8360,6849,,D,D,D
Tajikistan,On-time payments-Personal income tax-Value of payments received (in thousands in local currency),Thousands,,,,,71562,3341155
Colombia,Total ICT expenditure (in thousands in local currency),Thousands,,,43713130,31087500,60325718,202483884
Ukraine,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,3804106,4209633,3473335,2713941,4318529,3607347
Kiribati,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,27609,32725
"Kosovo, Republic of",On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,84989,94777,85835,125051,141280,188507
St. Lucia,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,963,11612,6014,4605,4687,17
"Timor-Leste, Dem. Rep. of",Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,15610,15560,16943,33748,24415,28033
St. Lucia,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,2041,2842,1612,6299,6299,1416
Turks and Caicos Islands,Closing stock of arrears at year-end (in thousands in local currency)-Arrears considered non-collectible,Thousands,D,D,3956,17745,18148,7626
Central African Republic,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,18873321,16827975,30049030,36129071,D,D
South Africa,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,42372005,51159950,18085474,22669302,49545528,49394168
Jamaica,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,86601341,47039150,56869476,56869476,68068580,78706852
Kyrgyz Republic,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,9937663,10558004,,125330476,16236770,D
Trinidad and Tobago,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,2112157,1764516,1937894,790218,1568211,1277583
Trinidad and Tobago,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,103145,46656,74259,236358,192084,75011
Belarus,On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,94001,92284,6669518,7884434,D,D
Indonesia,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,5.2039E+11,5.15972E+11,4.41773E+11,5.38736E+11,6.67153E+11,7.39674E+11
Slovak Republic,Total operating expenditures (in thousands in local currency),Thousands,322287,385539,386343,359392,364164,421087
Poland,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,1220467,1381560,1667764,1396711,2148426,2388116
Ukraine,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,38044281,41724840,17778429,63455696,28846000,45940833
Lithuania,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,142175,138632,636823,463098,216548,178668
Ecuador,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,16513,17114,11787,5072,9480,4316
Poland,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,47322975,54950843,56971500,61306902,56837736,74198239
